web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775683332-42","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Command 3M Universal Picture Hanging Hook (Silver)","1 pack","₹229","₹259","11%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1bccff84-dafb-4511-aef0-673544451556.png","",""
"1775683332-43","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Command 3M Small Picture Hanging Strips + Scotch 3M Double Sided Tape (1M Holds 4.5Kg) (Grey) Combo","1 pack + 1 pc","₹315","₹395","20%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770880886166-12.png","",""
"1775683332-44","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Bathla Foldable Cloth Dryer Stand (Light Orange)","1 pc","₹1,804","₹5,299","65%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d5fdd11-deef-4caf-856c-b1272f743d87.png","",""
"1775683332-45","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Aravi Plastic Multicolour Plastic Cloth Clips (Multicolour)","12 pcs","₹89","₹149","40%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/74d48151-c0da-4ef6-b945-8f6cad3df43b.png","",""
"1775683332-46","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","PrettyKrafts 75 Ltr Black & Grey Laundry Basket with Lid & Handles (Black, Grey)","1 pc","₹329","₹1,099","70%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/43b2b0e7-0d7b-457d-af92-edf3bd11c40f.png","",""
"1775683332-47","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Wewel Polypropylene Cloth Hanger - 16 Pieces (Black)","16 pcs","₹299","₹1,000","70%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774510785186-237.png","",""
"1775683332-48","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Zappfresh Cotton Bath Towel (60"" x 30"", Color may vary)","1 pc","₹289","₹1,000","71%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769925956286-73.png","",""
"1775683332-49","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Wewel Plastic Cloth Clips (Multicolour)","36 pcs","₹299","₹500","40%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/86e89ef5-f089-43a2-be99-b1be460b780b.png","",""
"1775683332-50","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","Decathlon Microfiber Quickdry Towel - Dark Blue, 85x160cm - NABAIJI","1 pc","₹622","₹899","30%
OFF","ADD","","","",""
"1775683332-51","https://blinkit.com/cn/home-office/bathroom-essentials/cid/1379/1014","myTrident Comfort Living Cotton Hand Towel (15.7"" x 23.6"", Red)","2 pcs","₹221","₹399","44%
OFF","ADD","","","",""
