web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image,image2
"1775684151-87","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Studds Chrome Eco Full Face Helmet (Black, L)","1 unit","₹1,019","₹1,075","5%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7cb8ba2a-c16b-49fc-b072-870712545816.png",""
"1775684151-88","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Cleaning Brush","1 pc","₹269","₹299","10%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65f7cd1c-61af-4793-b2ce-2c66ae2193ad.png",""
"1775684151-89","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Gold Class Car Shampoo & Conditioner","473 ml","₹730","₹809","9%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/96ede216-1d9b-411a-b1a6-8b24d46d2fb5.png",""
"1775684151-90","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","3M Anti-Microbial Foam Car AC Cleaner","80 g","₹369","₹485","23%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5e3062f0-5c29-4262-b3fa-3f97cd507dc6.png",""
"1775684151-91","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Jumper Cable","1 pc","₹599","","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/19a43314-9313-44fb-917d-7fb6a268117d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-92","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Ultimate Waterless Wash Car Wax","768 ml","₹728","₹799","8%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bd84002a-3a2b-4d65-aa09-acbeea28f260.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-93","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Studds Chrome Eco Full Face Helmet (Black, L)","1 unit","₹1,019","₹1,075","5%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7cb8ba2a-c16b-49fc-b072-870712545816.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-94","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Cleaning Brush","1 pc","₹269","₹299","10%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65f7cd1c-61af-4793-b2ce-2c66ae2193ad.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-95","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Gold Class Car Shampoo & Conditioner","473 ml","₹730","₹809","9%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/96ede216-1d9b-411a-b1a6-8b24d46d2fb5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-96","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","3M Anti-Microbial Foam Car AC Cleaner","80 g","₹369","₹485","23%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5e3062f0-5c29-4262-b3fa-3f97cd507dc6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
