web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775627182-223","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","On1y Pink Salt (Gulabi Nuun)","100 g","₹87","₹99","12%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/174452af-5474-4082-a1ca-5afde424caf3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-224","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Miss Monk Monk Fruit Sweetener","50 x 4 ml","₹349","₹399","12%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f2e75d0-3b78-4f3c-88a9-b7dfbfd30eca.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-225","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Catch Crystal Rock Salt Grinder","100 g","₹79","₹119","33%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/badcd7c3-1bd0-4e17-bf56-4f02094d1bdb.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-226","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Praakritik Organic Jaggery Powder","500 g","₹110","₹135","18%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f9b5dd9-0e40-4de7-8f9a-0d0303192529.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-227","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Pro Nature Classic Pink Salt (Gulabi Nuun)","500 g","₹62","₹68","8%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/90fab9e3-29b1-4ad5-9594-2c2c144bf98a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-228","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Artinci DrinkSmart - Monkfruit Sweetener","340 g","₹449","₹599","25%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770627019810-163.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-229","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Aryadhenu Shudh Desi Khand","900 g","₹205","","","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/35ff3a96-2f88-47b4-861a-1fcb182b7f92.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-230","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Zeeero Monk Fruit Sweetener without Erythritol","250 g","₹499","₹500","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770976792496-161.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-231","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Premium Organic Coconut Sugar","350 g","₹349","","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a499473d-f04d-4b2b-b889-e406757d62db.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-232","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Premium Organic Coconut Sugar","1 kg","₹699","₹749","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a1cacad-7a4c-48a3-a0b8-e9835ae31737.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-233","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Whole Farm Premium Jaggery Powder (Gur Gura)","500 g","₹50","₹120","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/062aac45-ca18-4ef7-af20-0f0e66499227.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-234","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dulal Chandra Bhar's Candy Palm Sugar","850 g","₹269","₹349","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bbe496f2-ef89-4f23-a7d5-9be051784ea5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-235","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Bebe Solid Jaggery Cubes (Gur Gola)","400 g","₹68","","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8832480f-7efa-4af0-91e0-7c03afc9826d.png","",""
"1775627182-236","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dhampure White Crystal Sulphurless Sugar","1 kg","₹54","₹65","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775566223784-19.png","",""
"1775627182-237","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Pro Organic Life Dhaga Organic Mishri (Rock Candy Sugar)","1 kg","₹248","₹350","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f812974-ecf6-4d21-9c6b-a2ca8c8ea3bb.png","",""
"1775627182-238","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dhampure White Crystal Sulphurless Sugar","5 kg","₹255","₹315","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1284dc8a-642a-486e-9281-516bdfb560c8.png","",""
"1775627182-239","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Menu Maker Palm Jaggery / Khejur Patali Gur (Palm Gur)","600 g","₹252","₹335","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/38461f2e-cdf2-41f8-b879-196eb1cd29e5.png","",""
"1775627182-240","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","24 Mantra Organic Sugar","1 kg","₹125","₹160","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-298.png","",""
"1775627182-241","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Bebe Solid Jaggery Cubes (Gur Gola)","400 g","₹68","","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8832480f-7efa-4af0-91e0-7c03afc9826d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-242","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dhampure White Crystal Sulphurless Sugar","1 kg","₹54","₹65","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775566223784-19.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-243","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Pro Organic Life Dhaga Organic Mishri (Rock Candy Sugar)","1 kg","₹248","₹350","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f812974-ecf6-4d21-9c6b-a2ca8c8ea3bb.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
